Valeur fonciere,Surface reelle bati,Commune,Code postal,Date mutation,Nature mutation,prix_au_m2,mois,trimestre,categorie_prix,categorie_surface
593550.0,93,LA ROCHELLE,17000,2023-12-15,Vente,6382.26,12,4,500k-1M,80-120 m²
3050000.0,183,SAINTE MAXIME,83120,2023-05-26,Vente,16666.67,5,2,>1M,>120 m²
691000.0,157,AIGUES-VIVES,30670,2023-03-08,Vente,4401.27,3,1,500k-1M,>120 m²
369900.0,58,MEUDON,92190,2023-02-24,Vente,6377.59,2,1,250k-500k,50-80 m²
71000.0,28,MAROMME,76150,2023-01-30,Vente,2535.71,1,1,<100k,<30 m²
325000.0,87,LYON 3EME,69003,2023-09-06,Vente,3735.63,9,3,250k-500k,80-120 m²
90000.0,85,CHATEAUROUX,36000,2023-05-25,Vente,1058.82,5,2,<100k,80-120 m²
82000.0,86,CALAIS,62100,2023-12-06,Vente,953.49,12,4,<100k,80-120 m²
79000.0,38,LES PONTS DE CE,49130,2023-04-25,Vente,2078.95,4,2,<100k,30-50 m²
58000.0,18,GRENOBLE,38000,2023-03-29,Vente,3222.22,3,1,<100k,<30 m²
559200.0,12,LES ABRETS EN DAUPHINE,38490,2023-09-04,Vente en l'état futur d'achèvement,46600.0,9,3,500k-1M,<30 m²
431000.0,129,COMINES,59560,2023-07-24,Vente,3341.09,7,3,250k-500k,>120 m²
187800.0,90,NOAILHAC,81490,2023-04-28,Vente,2086.67,4,2,100k-250k,80-120 m²
255816.0,135,SAINT-SULPICE-D ARNOULT,17250,2023-12-12,Vente,1894.93,12,4,250k-500k,>120 m²
168550.0,28,CHATILLON,92320,2023-01-04,Vente,6019.64,1,1,100k-250k,<30 m²
270700.0,80,SAINT-BONNET-LE-CHATEAU,42380,2023-09-18,Vente,3383.75,9,3,250k-500k,80-120 m²
275000.0,110,JARNY,54800,2023-06-28,Vente,2500.0,6,2,250k-500k,80-120 m²
190000.0,27,TROUVILLE-SUR-MER,14360,2023-10-06,Vente,7037.04,10,4,100k-250k,<30 m²
797445.0,66,OZ,38114,2023-08-30,Vente,12082.5,8,3,500k-1M,50-80 m²
172000.0,65,MOUSSAN,11120,2023-02-01,Vente,2646.15,2,1,100k-250k,50-80 m²
397000.0,117,CEYRAT,63122,2023-03-22,Vente,3393.16,3,1,250k-500k,80-120 m²
450000.0,84,SAINT-PALAIS-SUR-MER,17420,2023-10-13,Vente,5357.14,10,4,250k-500k,80-120 m²
1300000.0,12,AMIENS,80080,2023-01-06,Vente,108333.33,1,1,>1M,<30 m²
730000.0,140,LE TIGNET,6530,2023-06-30,Vente,5214.29,6,2,500k-1M,>120 m²
139260.0,83,NANCY,54000,2023-10-06,Vente,1677.83,10,4,100k-250k,80-120 m²
138000.0,58,AVANNE-AVENEY,25720,2023-06-01,Vente,2379.31,6,2,100k-250k,50-80 m²
